Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,1,k,35,21500,"U Pergamenky, Praha 7 - Holešovice",1
pronájem,bytu,2,k,46,15000,"U Uranie, Praha 7 - Holešovice",1
pronájem,bytu,2,k,40,17990,"Mládeže, Praha 6 - Břevnov",1
pronájem,bytu,1,k,39,15500,"Počernická, Praha 10 - Malešice",1
pronájem,bytu,5,k,200,48000,"V úžlabině, Praha 10 - Strašnice",1
pronájem,bytu,2,k,60,22000,"Honzíkova, Praha 10 - Dolní Měcholupy",1
pronájem,bytu,2,k,52,18000,"Václava Trojana, Praha 10 - Uhříněves",1
pronájem,bytu,2,k,45,15500,"Daškova, Praha 4 - Modřany, okres Praha",1
pronájem,bytu,3,k,132,45000,"Grafická, Praha 5 - Smíchov",1
pronájem,bytu,2,k,42,22000,"Mukařovského, Praha 5 - Stodůlky",1
pronájem,bytu,2,1,52,24000,"Krocínova, Praha 1 - Staré Město",1
pronájem,bytu,4,1,150,47900,"Korunní, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,27,14004,"Na Větrníku, Praha 6 - Břevnov",1
pronájem,bytu,3,1,65,25000,"Na Jezerce, Praha 4 - Nusle",1
pronájem,bytu,2,k,56,33000,"Podbělohorská, Praha 5 - Smíchov",1
pronájem,bytu,2,k,36,24500,"V Šáreckém údolí, Praha 6 - Dejvice",1
pronájem,bytu,2,k,50,22500,"Karla Engliše, Praha 5 - Smíchov",1
pronájem,bytu,3,1,104,45000,"Záhřebská, Praha 2 - Vinohrady",1
pronájem,bytu,2,1,36,23500,"U Pergamenky, Praha 7 - Holešovice",1
pronájem,bytu,3,1,81,42000,"Vlašská, Praha 1 - Malá Strana",1
pronájem,bytu,2,k,56,25000,"Na Zatlance, Praha 5 - Smíchov",1
pronájem,bytu,1,k,38,19500,"U boroviček, Praha 6 - Řepy",1
pronájem,bytu,3,k,111,33000,"Musílkova, Praha 5 - Košíře",1
pronájem,bytu,1,k,34,20900,"Mukařovského, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,50,23900,"Mukařovského, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,59,26900,"Mukařovského, Praha 5 - Stodůlky",1
pronájem,bytu,3,k,119,46900,"Mukařovského, Praha 5 - Stodůlky",1
pronájem,bytu,3,1,87,20000,"Ke kurtům, Praha 4 - Písnice",1
pronájem,bytu,3,k,64,12000,"Cvikovská, Praha 9 - Střížkov",1
pronájem,bytu,1,k,30,29000,"Holečkova, Praha 5 - Košíře, okres Praha",1
pronájem,bytu,1,k,48,15000,"Hořínecká, Praha 8 - Ďáblice",1
pronájem,bytu,1,k,62,19000,"Naskové, Praha 5 - Košíře",1
pronájem,bytu,2,k,76,26500,"Do Klukovic, Praha 5 - Hlubočepy",1
pronájem,bytu,2,k,52,21900,"Sobí, Praha 9 - Hloubětín",1
pronájem,bytu,2,k,48,15000,"Novodvorská, Praha 4 - Braník",1
pronájem,bytu,3,1,70,23000,"Mračnická, Praha 10 - Hostivař",1
pronájem,bytu,1,k,45,17900,"Mukařovského, Praha 5 - Stodůlky",1
pronájem,bytu,5,k,165,32000,"Klausova, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,52,21900,"Sobí, Praha 9 - Hloubětín",1
pronájem,bytu,2,k,45,15000,"Ve Střešovičkách, Praha 6 - Břevnov",1
pronájem,bytu,3,1,76,25000,"Karoliny Světlé, Praha 1 - Staré Město",1
pronájem,bytu,3,k,94,30990,"Fibichova, Praha 3 - Žižkov",1
pronájem,bytu,2,k,48,16490,"Nekvasilova, Praha 8 - Karlín",1
pronájem,bytu,3,k,65,25990,"Jana Přibíka, Praha 9 - Vysočany",1
pronájem,bytu,4,k,84,24990,"Na Okrouhlíku, Praha 8 - Libeň",1
pronájem,bytu,2,k,45,15990,"Českodubská, Praha 9 - Vinoř",1
