Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,3,k,81,35900,"Jandova, Praha 9 - Vysočany",1
pronájem,bytu,3,k,73,35900,"Jandova, Praha 9 - Vysočany",1
pronájem,bytu,4,k,100,44900,"Jandova, Praha 9 - Vysočany",1
pronájem,bytu,4,k,111,44900,"Jandova, Praha 9 - Vysočany",1
pronájem,bytu,4,1,160,60000,"Uruguayská, Praha 2 - Vinohrady, okres Praha",1
pronájem,bytu,3,k,101,45000,"Nádražní, Praha 5 - Smíchov",1
pronájem,bytu,3,k,59,35000,"Italská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,26,15000,"Plzeňská, Praha 5 - Smíchov",1
pronájem,bytu,3,k,69,24500,"Kamýcká, Praha 6 - Suchdol",1
pronájem,bytu,3,k,77,26500,"Vacínova, Praha 8 - Libeň",1
pronájem,bytu,1,1,54,17000,"Podolské nábřeží, Praha 4 - Podolí",1
pronájem,bytu,2,k,42,17800,"Písečná, Praha 8 - Troja",1
pronájem,bytu,5,k,279,270000,"Na Hřebenkách, Praha 5 - Smíchov",1
pronájem,bytu,2,k,50,23500,"Zlochova, Praha 4 - Modřany",1
