Způsob_koupě,Typ_obydlení,Počet_pokojů,Typ_kuchyně,Velikost_bytu,Cena,Ulice,Kraj
pronájem,bytu,1,k,26,13500,"Za Pohořelcem, Praha 6 - Střešovice",1
pronájem,bytu,3,k,82,24000,"Evropská, Praha 6 - Dejvice",1
pronájem,bytu,3,k,143,75540,"Holečkova, Praha 5 - Smíchov, okres Praha",1
pronájem,bytu,3,k,62,24900,"Pod stupni, Praha 10 - Vršovice",1
pronájem,bytu,1,1,39,16500,"Biskupcova, Praha 3 - Žižkov, okres Praha",1
pronájem,bytu,3,k,60,17000,"Varnsdorfská, Praha 9 - Střížkov",1
pronájem,bytu,2,1,66,15000,"Zárubova, Praha 4 - Kamýk",1
pronájem,bytu,2,k,77,34000,"U lužického semináře, Praha 1 - Malá Strana",1
pronájem,bytu,5,k,256,75000,"Na poříčí, Praha 1 - Nové Město, okres Praha",1
pronájem,bytu,2,k,60,22900,"Hrašeho, Praha 8 - Čimice",1
pronájem,bytu,5,1,286,90000,"Újezd, Praha 5 - Malá Strana, okres Praha",1
pronájem,bytu,2,k,45,18000,"Sdružení, Praha 4 - Nusle",1
pronájem,bytu,2,k,50,17500,"Jeseniova, Praha 3 - Žižkov",1
pronájem,bytu,3,1,71,23900,"Bítovská, Praha 4 - Michle",1
pronájem,bytu,3,1,66,22000,"Severní I, Praha 4 - Záběhlice",1
pronájem,bytu,3,1,66,16500,"Vazovova, Praha 4 - Modřany",1
pronájem,bytu,1,k,23,19000,"Studentská, Praha 6 - Dejvice",1
pronájem,bytu,2,k,50,21500,"U Santošky, Praha 5 - Smíchov",1
pronájem,bytu,1,1,34,16500,"Křesomyslova, Praha 4 - Nusle",1
pronájem,bytu,3,k,97,40000,"Moravská, Praha 2 - Vinohrady, okres Praha",1
pronájem,bytu,1,k,23,16000,"Poděbradská, Praha 9 - Vysočany",1
pronájem,bytu,2,k,78,32000,"Záhřebská, Praha 2 - Vinohrady, okres Praha",1
pronájem,bytu,3,1,71,21000,"Geologická, Praha 5 - Hlubočepy",1
pronájem,bytu,3,1,108,33000,"Wolkerova, Praha 6 - Bubeneč, okres Praha",1
pronájem,bytu,2,k,42,13890,"Uherská, Praha 9 - Vinoř",1
pronájem,bytu,2,k,63,24500,"Karla Engliše, Praha 5 - Smíchov",1
pronájem,bytu,1,k,36,15900,"Sedlářova, Praha 9 - Kbely",1
pronájem,bytu,3,1,130,45000,"U akademie, Praha 7 - Bubeneč",1
pronájem,bytu,2,k,45,19000,"Braunerova, Praha 8 - Libeň",1
pronájem,bytu,2,k,43,24000,"Mukařovského, Praha 5 - Stodůlky",1
pronájem,bytu,4,k,105,39000,"Tichá, Praha 5 - Smíchov",1
pronájem,bytu,2,k,57,26000,"Pernerova, Praha 8 - Karlín",1
pronájem,bytu,3,k,70,23000,"Kodaňská, Praha 10 - Vršovice, okres Praha",1
pronájem,bytu,2,k,42,16900,"Katovická, Praha 8 - Bohnice",1
pronájem,bytu,2,k,45,17500,"Zlešická, Praha 4 - Chodov",1
pronájem,bytu,4,k,142,59000,"Nad cihelnou, Praha 4 - Podolí, okres Praha",1
pronájem,bytu,5,1,268,105000,"Pařížská, Praha 1 - Staré Město",1
pronájem,bytu,5,1,112,42000,"Marešova, Praha 9 - Černý Most",1
pronájem,bytu,3,k,89,28000,"Vodárenská, Praha 4 - Podolí",1
pronájem,bytu,1,k,21,10000,"Pravá, Praha 4 - Podolí",1
pronájem,bytu,2,k,73,34000,"Strahovské nádvoří, Praha 1 - Hradčany",1
pronájem,bytu,5,1,220,105000,"Pařížská, Praha 1 - Staré Město",1
pronájem,bytu,2,k,59,22500,"Sokolovská, Praha 8 - Libeň",1
pronájem,bytu,1,k,24,13500,"Děčínská, Praha 8 - Střížkov",1
pronájem,bytu,2,k,55,19000,"Jagellonská, Praha 3",1
pronájem,bytu,2,1,53,19900,"Nad Konvářkou, Praha 5 - Radlice",1
pronájem,bytu,2,k,50,19000,"Nad Popelkou, Praha 5 - Smíchov",1
pronájem,bytu,1,k,29,18000,"Bílkova, Praha 1 - Staré Město",1
pronájem,bytu,4,1,125,35000,"Senovážné náměstí, Praha 1 - Nové Město",1
pronájem,bytu,2,k,51,22000,"U Radosti, Praha 5 - Třebonice",1
pronájem,bytu,2,k,45,22000,"Spálená, Praha 1 - Nové Město, okres Praha",1
pronájem,bytu,2,1,66,20000,"Podlipného, Praha 8 - Libeň",1
pronájem,bytu,1,1,56,15000,"Janovského, Praha 7 - Holešovice",1
pronájem,bytu,3,1,90,34900,"Ostrovní, Praha 1 - Nové Město",1
pronájem,bytu,2,k,70,19500,"Pod Kavalírkou, Praha 5 - Košíře",1
pronájem,bytu,3,k,109,60000,"Laubova, Praha 3 - Vinohrady",1
pronájem,bytu,2,1,44,18000,"Novákových, Praha 8 - Libeň",1
pronájem,bytu,1,k,28,14900,"Doudlebská, Praha 4 - Nusle",1
pronájem,bytu,1,k,27,11000,"Vavřenova, Praha 4 - Braník",1
pronájem,bytu,1,k,35,14000,Praha 5 - Zbraslav,1
pronájem,bytu,2,1,57,21000,"Maříkova, Praha 6 - Veleslavín",1
pronájem,bytu,1,k,12,12000,"Staňkova, Praha 4 - Háje",1
pronájem,bytu,2,k,43,15500,"Žerotínova, Praha 3 - Žižkov",1
pronájem,bytu,2,k,47,16500,"Holandská, Praha 10 - Vršovice",1
pronájem,bytu,5,k,150,34000,"Písečná, Praha 8 - Troja",1
pronájem,bytu,2,k,39,19750,"Na pěšinách, Praha 8 - Kobylisy",1
pronájem,bytu,1,k,36,18720,"Na pěšinách, Praha 8 - Kobylisy",1
pronájem,bytu,1,k,46,15000,"Hlivická, Praha 8 - Bohnice, okres Praha",1
pronájem,bytu,4,k,108,50470,"Italská, Praha 2 - Vinohrady",1
pronájem,bytu,1,k,27,14490,"Holečkova, Praha 5 - Smíchov",1
pronájem,bytu,2,k,54,24500,"Heřmanova, Praha 7 - Holešovice",1
pronájem,bytu,5,k,190,45990,"Hillebrantova, Praha 5 - Košíře",1
pronájem,bytu,2,k,58,22000,"Klapálkova, Praha 10 - Záběhlice",1
pronájem,bytu,3,1,94,28000,"Únorová, Praha 10 - Nedvězí u Říčan",1
0,0,0,0,0,9500,"Milady Horákové, Praha 7 - Holešovice",1
pronájem,bytu,3,k,65,23000,"Václava Trojana, Praha 10 - Uhříněves",1
pronájem,bytu,3,k,93,29000,"Hasilova, Praha 5 - Stodůlky",1
pronájem,bytu,2,k,68,16990,"Feřtekova, Praha 8 - Bohnice",1
pronájem,bytu,2,k,62,21500,"Pod Harfou, Praha 9 - Vysočany",1
pronájem,bytu,1,k,27,12000,"Plzeňská, Praha 5 - Košíře",1
pronájem,bytu,1,k,40,20000,"U Zvonařky, Praha 2 - Vinohrady",1
pronájem,bytu,3,k,103,26000,"Kostomlatská, Praha 9 - Letňany",1
pronájem,bytu,3,1,130,45000,"U akademie, Praha 7 - Bubeneč, okres Praha",1
pronájem,bytu,2,k,50,17180,"Podolská, Praha 4 - Braník",1
pronájem,bytu,3,1,71,24500,"Janského, Praha 5 - Stodůlky",1
